"ngram","fc","rc"
"NEWS:OTHER;·Pg.·16-17·",32,14
"NEWS:PEOPLE;·Pg.·",24,50
"News·(Norwich)·",15,72
"news·about·",16,0
"News·and·Journal·",14,20
"news·from·",21,26
"NEWS·GROUP·NEWSPAPERS·",932,1860
"NEWS·GROUP·NEWSPAPERS·LTD·",932,1860
"news·of·",41,108
"News·of·the·deal·",0,20
"newsletter·AND·add·your·point·of·",15,300
"Newspapers·plc·",159,68
"Newsquest·Media·",623,346
"next·12·",80,18
"next·five·",73,30
"next·generation·of·",18,30
"next·month·",0,24
"next·of·kin·",0,40
"next·stage·of·",36,18
"next·two·",138,0
"next·week·",121,18
"next·year·",146,22
"NHS·in·",34,0
"NICE·guidance·",0,16
"night·by·",19,0
"night·in·",22,22
"night·in·",22,0
"night·out·",0,62
"nine·months·",0,56
"NO:·3%·",0,24
"No.·5·ISSN:·1475455X·",0,38
"NO·BYLINE·",68,22
"no·chance·of·",13,0
"no·deal·",85,0
"no·deal·is·better·than·",15,0
"no·further·",36,46
"no·impact·",39,16
"no·matter·how·",32,14
"no·more·",105,28
"No·one·",48,66
"no·onward·",0,18
"no·reports·of·",0,24
"no·sense·",19,0
"No·wonder·",26,0
"non-small·cell·lung·cancer·",0,124
"none·of·the·",39,0
"North·Africa·",0,30
"North·Somerset·",19,18
"North·Wales·",44,36
"North·Yorkshire·",18,140
"North·Yorkshire·",18,0
"Northamptonshire·Police·on·",0,20
"Northern·Echo·(Newsquest·Regional·",94,168
"Northern·Echo·(Newsquest·Regional·Press)·",94,168
"Northern·Ireland·from·",25,0
"Northern·Ireland·is·",62,0
"Not·a·",21,0
"not·a·",688,0
"not·been·",259,278
"not·being·",116,82
"not·enough·",92,28
"not·expect·to·",13,0
"not·fit·",19,0
"not·getting·",31,0
"not·meet·",22,72
"not·on·",82,14
"not·only·the·",19,20
"not·provide·",23,28
"not·provide·",23,0
"not·respond·",0,42
"not·talking·",13,0
"not·want·",261,26
"not·working·",18,0
"noted·that·",118,106
"Novartis·(NOVN:·VX)·",0,76
"November·10·",98,178
"November·10·2016·",38,174
"November·17·",111,112
"November·17·2016·",41,0
"November·18·",0,86
"November·19·2016·Saturday·",0,32
"November·20·2016·",19,52
"November·23·2016·Wednesday·",0,62
"November·24·",107,128
"November·24·2016·Thursday·",13,78
"November·3·",103,120
"November·3·2016·Thursday·",28,66
"November·30·",122,102
"November·4·2016·",64,124
"November·5·",77,88
"November·5·",77,0
"November·5·2016·Saturday·",16,48
"November·7·",88,104
"November·8·2016·Tuesday·",14,0
"now·has·",64,60
"Now·the·",0,20
"now·to·",106,22
"obligation·to·",28,20
"obligation·to·",28,0
"October·10·",0,84
"October·10·2016·",54,82
"October·11·2016·Tuesday·",17,60
"October·12·2016·",35,126
"October·13·2016·",50,152
"October·16·2016·",19,58
"October·18·2016·",31,136
"October·20·2016·",58,118
"October·21·",122,118
"October·21·2016·",41,118
"October·22·",78,110
"October·24·",131,88
"October·25·2016·Tuesday·",18,54
"October·27·",103,324
"October·4·",172,68
"of·12·",13,48
"of·13·",13,24
"of·2017·",38,100
"of·2018.·",22,34
"of·500·",0,13006
"of·a·Brexit·",106,0
"of·a·customs·",26,0
"of·a·government·",14,0
"of·a·man·with·a·",0,16
"of·a·Phase·",0,58
"of·a·range·",0,16
"of·abuse·",14,0
"of·access·",54,18
"of·access·",54,0
"of·access·to·",0,14
"of·achieving·",16,14
"of·action·",0,148
"of·adult·patients·with·",0,74
"of·age·",0,92
"of·all·the·",64,26
"of·and·",25,22
"of·any·",0,206
"of·bad·",16,18
"of·bad·",16,0
"of·Biological·",0,14
"of·border·",43,0
"of·both·",0,148
"of·breaching·",0,14
"of·Brexit·as·",32,0
"of·bringing·",18,40
"of·building·",0,26
"of·changes·",21,16
"of·China's·",14,28
"of·Chinese·",16,14
"of·common·",27,40
"of·concern·",42,22
"of·contempt·",19,0
"of·country·",18,0
"of·course·",187,16
"of·delivering·",34,22
"of·development·",13,64
"of·devolved·",52,0
"of·Directors·",59,16
"of·domestic·",23,28
"of·economic·",131,14
"of·eight·",24,48
"of·eight·",0,48
"of·England·",79,0
"of·experience·",17,64
"of·failing·to·",28,14
"of·former·",45,24
"of·four·",47,96
"of·free·",97,0
"of·French·",23,0
"of·fresh·",27,0
"of·global·",65,172
"of·growth·",61,0
"of·having·",0,44
"of·Health·",0,220
"of·Hematology·(ASH)·",0,18
"of·housing·",15,0
"of·human·",32,62
"of·improving·",0,30
"of·injectable·",0,14
"of·investment·in·",18,0
"of·its·kind·",13,42
"of·its·value·",0,18
"of·Justice·",0,58
"of·Justice·in·",18,0
"of·key·",48,42
"of·less·",18,32
"of·life·for·",0,16
"of·liver·",0,40
"of·March·",131,44
"of·May·",19,34
"of·molecules·",0,16
"of·money·",105,42
"of·next·",93,38
"of·patients·",18,942
"of·people·who·",83,34
"of·people·with·",14,80
"of·Pfizer·",0,20
"of·positive·",17,20
"of·possible·",26,0
"of·privately-held·",0,24
"of·products·",29,102
"of·protecting·",17,14
"of·R&D·at·",0,52
"of·research·",46,126
"of·respiratory·",0,40
"of·rich·",13,0
"of·skilled·",36,0
"of·some·",186,64
"of·space·",16,0
"of·State·for·Exiting·",26,0
"of·such·",98,0
"of·support·",79,16
"of·the·agreement·",18,76
"of·the·agreement·",0,302
"of·the·Association·of·",15,14
"of·the·best·",75,0
"of·the·board·",0,72
"of·the·Brexit·deal·",26,0
"of·the·Brexit·process.·",22,0
"of·the·car·",0,14
"of·the·City·of·",16,0
"of·the·companies·",0,22
"of·the·company·",0,32
"of·the·Conservative·Party·",26,0
"of·the·country's·",57,24
"of·the·day·",0,28
"of·the·deal·",75,100
"of·the·European·",0,156
"of·the·four·",21,22
"of·the·importance·",13,18
"of·the·main·",68,20
"of·the·market·",41,24
"of·the·need·to·",19,0
"of·the·next·",59,14
"of·the·next·",59,0
"of·the·ongoing·",14,28
"of·the·public·",97,180
"of·the·Single·",46,0
"of·the·two·",0,46
"of·the·UK·",1006,18
"of·the·UK·leaving·the·EU·",17,0
"of·the·UK's·decision·to·",17,0
"of·the·underlying·",0,14
"of·them.·",43,16
"of·them.·",0,16
"of·therapy.·",0,20
"of·this·",1041,1050
"of·thousands·of·jobs·",14,0
"of·times·",0,20
"of·total·",30,62
"of·trade·",19,0
"of·Transcontinental·Media·",0,36
"of·treatment.·",0,46
"of·Trump·",14,0
"of·understanding·",15,20
"of·unmet·",0,32
"of·which·",312,410
"of·which·are·",27,78
"of·wine·",26,22
"of·women·",25,0
"of·work·",98,30
"of·work·to·",16,0
"of·young·",49,0
"off·after·",29,24
"off·by·",67,34
"off·in·the·",14,28
"off·its·",31,14
"offer·in·",19,0
"offer·is·",0,24
"offer·the·",52,40
"offering·the·",14,16
"offering·to·",16,28
"office·on·",16,24
"officer·at·",24,0
"officers·attended·",0,14
"officials·in·",38,18
"officials·were·",18,0
"on·101·quoting·",0,252
"on·101·quoting·crime·",0,22
"on·101·quoting·incident·number·",0,24
"On·a·",59,44
"on·a·car·",0,14
"on·a·daily·",32,16
"on·a·Hampshire·road.·",0,16
"on·a·number·of·",0,14
"on·a·year·",18,16
"on·any·Brexit·",24,0
"on·BBC·",101,0
"on·Boxing·Day·",0,16
"on·Brexit'·",14,0
"on·business·",0,28
"on·Christmas·",13,40
"on·December·",0,152
"on·Facebook:·",0,22
"on·financial·",34,0
"on·Friday·",84,212
"on·how·to·",99,30
"on·improving·",13,14
"on·it·",42,32
"on·key·",54,22
"on·Monday:·",0,30
"on·Monday:·Should·",0,20
"On·Monday·",22,14
"on·Monday·",0,148
"on·Monday·",0,234
"on·news·",16,0
"on·November·",44,120
"on·one·of·",28,16
"on·Saturday·",34,204
"on·Saturday·",68,206
"on·Saturday·at·",0,14
"on·September·",0,110
"on·sign·in'·",15,300
"on·sign·in'·(top·right·corner).·You·can·",15,300
"on·sign·in'·(top·right·corner).·You·can·then·",15,300
"on·social·media.·",19,16
"on·Sunday·",236,232
"on·Sunday·",50,146
"ON·THE·",25,38
"on·the·A30·",0,14
"on·the·assumption·",13,0
"on·the·FTSE·100·were·",82,0
"on·the·future·relationship·",14,0
"on·the·government·",69,0
"on·the·high·",21,16
"on·the·National·Health·Service·",0,22
"on·the·other·hand·",18,0
"on·the·potential·",22,0
"on·the·UK·",219,0
"on·the·use·",0,16
"on·three·",19,18
"on·top·",79,0
"on·Tuesday·",58,164
"on·Twitter·",93,324
"on·Twitter·{https://twitter.com/HastingsObs·|·",0,24
"on·two·",37,36
"on·what·",360,30
"once·again·",14,0
"oncology·pipeline·",0,18
"one·for·",47,28
"one·hand·",14,0
"One·of·",229,124
"one·of·its·",39,52
"one·of·the·biggest·",61,16
"one·of·them·",24,22
"one·of·two·",16,16
"one·on·",32,0
"one·or·",0,82
"one·third·of·",14,24
"ones·who·",24,0
"only·for·",46,28
"only·one·",141,60
"open·an·",14,0
"open·and·",58,34
"opened·in·",21,20
"opening·of·",39,62
"operation·of·",20,0
"operations·in·",69,74
"Opinion·Matrix·COMMENT·",51,0
"opportunities·in·",56,0
"opportunities·to·",84,54
"opportunity·for·",198,142
"opposed·to·",176,0
"option·for·",58,390
"option·in·",14,32
"options·for·patients·",0,44
"or·be·",16,0
"or·email:·expresspix@express.co.uk·For·general·enquiries:·",0,38
"or·have·any·",0,24
"or·is·",39,24
"or·no·Brexit.·",19,0
"or·on·",28,20
"or·other·",39,88
"order·of·",22,20
"ordered·to·",23,74
"organic·sales·growth·",0,14
"Organisation·rules·",15,0
"organised·by·",112,0
"OTHER;·Others;·Pg.·",43,100
"other·companies·",15,28
"other·countries·",28,16
"other·key·",32,28
"other·parts·of·the·",58,16
"other·people·",32,46
"Others;·Pg.·",44,122
"our·core·",19,26
"our·daily·newsletter·AND·",15,300
"our·employees·",0,16
"our·Facebook·page·at·{https://www.facebook.com/crawley.observer·",0,26
"our·Facebook·page·at·{https://www.facebook.com/wscountytimes|·",0,14
"our·great·",26,0
"our·lives·",20,0
"our·Missing·Sections·",0,88
"our·mission·",0,44
"our·most·",43,22
"our·MPs·",30,0
"our·negotiations·",18,0
"our·place·",35,0
"our·technology·",0,20
"our·website·",21,0
"out·as·",0,22
"out·at·the·",57,28
"out·by·the·",0,22
"out·for·the·",35,16
"out·of·business·",13,0
"out·on·all·the·latest·breaking·news·where·you·",0,296
"out·on·the·",0,22
"outcome·of·the·",219,36
"outcome·would·",38,0
"outlined·in·",28,16
"outside·the·",581,210
"outside·the·",581,0
"over·100·",16,0
"over·an·",26,34
"over·five·",21,24
"over·his·",0,28
"Over·the·",79,82
"over·the·next·two·",48,14
"over·the·past·two·",27,14
"over·time·",13,26
"over·time·",0,26
"over·to·",63,54
"over·to·",63,0
"owned·by·the·",14,20
"pack·of·",14,30
"package·of·",26,24
"PAGE;·Pg.·",62,0
"Page·18·",18,0
"page·at·{https://www.facebook.com/ChichesterObserver·|·",0,18
"page·at·{https://www.facebook.com/hastingsobserver·",0,20
"page·at·{https://www.facebook.com/RyeandBattleObserver·|·",0,14
"paid·a·",19,0
"paid·to·",52,48
"paid·tribute·",15,24
"pain·relief·",0,42
"pair·of·",0,98
"Paisley·Daily·",24,48
"paramedics·at·the·",0,18
"Park·Street·",14,0
"Parliament·which·",13,0
"part·of·the·United·",24,0
"particularly·in·the·",0,18
"particularly·the·",0,18
"parties·and·",48,0
"partner·for·",24,60
"partner·of·",17,40
"partners·in·",44,34
"partners·to·",36,44
"partnership·between·",30,28
"partnership·is·",0,30
"partnership·with·",154,228
"partnership·with·the·EU·",21,0
"Party·Conference·",13,0
"party·in·",82,18
"party·is·",110,0
"pass·through·",20,20
"past·decade·",14,14
"past·few·",64,26
"past·the·",26,16
"patent·litigation·",0,14
"patents·and·",0,20
"Patient·Access·",0,30
"patients·diagnosed·",0,18
"patients·suffering·from·",0,112
"patients·with·a·",0,64
"patients·with·serious·",0,14
"pay·for·",0,70
"payment·of·",18,226
"payments·to·",71,52
"PD-1·immune·checkpoint·",0,32
"peak·of·",15,14
"pembrolizumab·in·",0,16
"people·-·",76,14
"people·around·",18,22
"people·at·",61,34
"people·can·",68,0
"people·have·been·",34,38
"people·have·been·",34,0
"people·he·",14,0
"people·in·the·UK·",34,0
"people·treated·with·",0,18
"people·who·were·",16,16
"people·with·",103,652
"people·with·CF·",0,20
"per·cent·",5050,218
"per·cent·this·year·",14,0
"per·share·a·",0,16
"per·year·",40,66
"per·year·",40,0
"performance·was·",0,14
"period·and·",36,14
"period·last·year.·",35,16
"period·of·",321,156
"permission·to·",59,30
"person·had·",0,20
"personal·details·",0,20
"Peter·Maybarduk·",0,16
"Pfizer·will·",0,40
"Pg.·10·",357,598
"Pg.·11·",0,314
"Pg.·15·",211,248
"Pg.·18-19·",0,26
"Pg.·2021·",19,0
"Pg.·21·",166,210
"Pg.·23·",158,242
"Pg.·24·",137,240
"Pg.·28·",110,88
"Pg.·37·",62,56
"Pg.·4·",681,396
"Pg.·40·",64,30
"Pg.·5·",409,256
"Pg.·55·",29,0
"Pg.·58·",15,32
"Pg.·8·",0,368
"pharma·giant·Pfizer's·(NYSE:·",0,22
"pharma·trade·",0,18
"pharmaceutical·companies·",20,0
"pharmaceutical·giant·",0,16
"Pharmaceuticals·(Nasdaq:·IONS)·",0,16
"Phase·III·clinical·trial.·",0,24
"PHONE·POLL·RESULTS·We·asked·in·our·",0,54
"pick·up·",66,0
"picture·of·",87,118
"pipeline·of·",19,136
"place·at·the·",31,60
"place·for·",99,22
"place·in·",322,182
"place·in·",0,182
"place·of·",36,0
"place·that·",14,0
"placebo·and·",0,30
"placed·in·",23,16
"placed·in·",23,0
"plan·and·",72,26
"plan·to·",374,188
"planning·and·",38,26
"plans·for·",578,96
"plans·for·a·",186,16
"platform·for·the·",0,18
"play·a·key·role·",13,26
"playing·with·",15,0
"plays·a·",18,28
"please·write·",14,0
"pleased·by·",0,14
"pleased·to·",80,320
"plenty·of·",127,36
"plus·a·",0,28
"point·for·",47,14
"point·of·view·to·",16,300
"pointed·out·that·the·",22,0
"points·to·",0,20
"poised·to·",39,30
"Police·and·",17,118
"POLICE·are·appealing·for·information·after·",0,22
"police·officers·",24,50
"Police·said:·We·were·called·",0,26
"police·to·",0,20
"Police·want·to·",0,54
"Police·want·to·speak·to·",0,26
"police·would·like·",0,14
"Police·would·like·to·speak·to·",0,26
"policy·at·the·",24,0
"Policy·Committee·",37,0
"political·and·",128,16
"politicians·and·",96,0
"poll·was·",16,0
"pool·of·",0,24
"population·with·",0,28
"portfolio·in·",0,52
"position·and·",51,18
"position·as·",83,66
"position·as·a·",26,20
"position·in·the·",44,38
"positioned·to·",14,52
"positive·outcome·",13,0
"positive·results·",0,146
"post-Brexit·deal·",16,0
"Post·&·Echo·",73,100
"Post·&·Echo·Ltd·",73,100
"post·on·",20,14
"posted·on·",0,50
"potential·for·",0,200
"potential·of·",56,322
"potential·to·deliver·",0,14
"power·and·",49,18
"powers·pursuant·to·",0,14
"predicted·that·",65,26
"preparation·for·",66,18
"presented·the·",14,24
"President·Donald·",117,54
"president·Donald·Tusk·has·",14,0
"Press·and·",156,118
"previously·held·",0,24
"price·and·subsidy·",0,14
"price·hikes·",0,38
"price·in·",18,28
"price·of·",261,422
"price·rises·",71,18
"price·to·",42,34
"price·to·",0,34
"prices·in·the·",36,26
"primary·endpoint·of·a·",0,20
"primary·progressive·",0,14
"Prime·Minister·Theresa·May·will·",19,0
"principal·place·of·",0,90
"Print·Limited·",619,194
"Print·Limited·",0,194
"priorities·and·",19,0
"privately·held·",0,30
"problem·in·",0,18
"problem·with·the·",17,0
"process·for·",57,64
"process·to·",86,24
"produced·by·",45,58
"produced·in·",27,14
"producer·of·",0,20
"product·to·",14,78
"production·is·",14,16
"Products·for·Human·",0,128
"products·in·",29,286
"products·Regulatory·",13,22
"products·that·",0,88
"profile·of·",19,138
"program·was·",0,16
"programme·for·",26,0
"progress·at·",14,0
"progress·made·",26,0
"progress·of·",49,66
"progress·on·",140,24
"progress·on·the·",40,0
"progress·towards·",17,0
"progression·and·",0,40
"projected·to·",0,38
"promising·to·",28,18
"proof·of·",0,54
"property·was·",0,22
"prospect·of·",439,38
"protection·for·",32,18
"proud·to·be·",24,18
"prove·to·",32,22
"provide·for·",19,0
"provided·a·",32,40
"provided·by·the·",21,20
"provides·the·",28,32
"public·company·",0,14
"public·debate·",14,0
"public·for·",14,34
"public·health·",34,168
"public·hearing·",0,14
"public·place·",0,22
"PUBLICATION-TYPE:·Papers·",273,32
"PUBLICATION-TYPE:·Papers·",0,32
"published·by·",91,36
"published·yesterday·",19,0
"Puma·Biotechnology·",0,14
"pursue·the·",16,14
"pursued·by·",0,20
"put·a·",139,56
"put·it·to·",18,0
"put·out·",25,70
"put·together·",24,16
"put·up·",59,26
"quarter·of·",271,0
"question·whether·",15,0
"questions·and·",19,16
"quite·a·",105,14
"Raab·is·",14,0
"raise·awareness·",13,0
"raise·awareness·",0,36
"raised·its·",24,0
"raised·the·",79,54
"randomized·controlled·",0,28
"ranging·from·",46,64
"ranks·with·",13,0
"rate·for·",27,0
"rate·in·the·",13,0
"raw·materials·",22,22
"reach·agreement·on·",21,0
"reached·a·",41,38
"ready·for·",156,48
"ready·for·",0,48
"rear·of·",0,32
"receive·an·",0,124
"receive·an·undisclosed·upfront·",0,16
"receive·our·daily·newsletter·AND·",15,300
"receive·our·daily·newsletter·AND·add·",0,300
"received·from·",28,44
"received·US·Food·and·",0,32
"received·US·Food·and·Drug·Administration·",0,20
"recent·months·",0,14
"recent·years·",56,34
"Record·&·",316,348
"Record·&·Sunday·",316,348
"Record·&·Sunday·",316,0
"record·for·",0,16
"red·tape·",15,0
"reduce·the·number·",0,14
"reeling·from·",13,0
"referring·to·",85,18
"regard·as·",22,0
"regards·to·",43,42
"region·and·",26,26
"Regional·Limited·",192,550
"Register·with·us·by·",15,300
"regulation·of·",29,22
"regulatory·and·commercial·milestones·",0,16
"regulatory·milestone·",0,28
"related·to·",92,390
"relates·to·",0,30
"relating·to·",102,214
"relation·to·",213,130
"relationship·that·",22,0
"relatively·small·",18,0
"released·by·the·",31,24
"released·by·the·",0,24
"released·the·",0,34
"relief·to·",18,16
"remain·a·",114,18
"remaining·within·the·",21,0
"remains·a·",120,60
"remains·confident·",0,18
"remains·in·",56,112
"remains·in·",0,112
"remains·in·a·critical·condition·",0,14
"renewable·energy·",29,0
"replaced·by·",79,18
"report·also·",55,56
"report·by·the·",0,18
"report·that·",76,0
"report·was·",34,28
"reporting·a·",0,14
"reports·of·a·road·",0,22
"reports·of·a·road·traffic·collision·",0,16
"reports·that·the·",27,22
"reports·the·",16,24
"represents·a·",56,186
"Request:·Selected·",0,54
"require·the·",32,24
"Research·and·",0,102
"research·and·development·",0,24
"research·has·",31,18
"research·into·",19,38
"research·will·",0,18
"residents·and·",28,22
"residents·of·",24,20
"resources·and·",20,36
"resources·and·",20,0
"respect·for·",49,18
"respect·to·",24,66
"respond·to·",113,116
"responded·to·",65,86
"responding·to·",62,36
"response·to·the·",87,70
"responsible·for·",174,434
"restrictions·on·",64,22
"restrictions·on·",0,22
"result·and·",72,0
"results·and·",15,50
"results·are·",0,98
"results·for·",37,0
"results·of·this·",0,42
"results·showed·that·",0,26
"results·were·",19,84
"returned·to·",98,122
"revealed·that·",199,102
"revealed·that·the·",34,24
"Revenue·from·",0,14
"revenues·of·",13,0
"review·of·",97,342
"review·the·",24,82
"right·corner).·You·can·",0,300
"rights·and·",197,36
"rights·for·the·",0,38
"rights·of·",333,20
"rise·over·",14,0
"risk·and·",48,22
"risk·of·a·",68,22
"risk·of·being·",15,0
"risk·of·breast·",0,20
"risk·of·disease·",0,32
"risks·and·",38,28
"Road·in·the·",0,14
"role·in·",303,220
"roles·in·",29,0
"room·at·",13,20
"rose·by·",104,0
"rose·to·",57,30
"Royal·College·",40,0
"Royal·Infirmary.·",0,18
"Royal·Mail·",77,26
"royalties·based·on·",0,20
"royalties·on·sales·",0,22
"run·a·",33,20
"run·in·",38,0
"runs·a·",21,16
"rushed·to·",0,162
"safe·and·well·",0,20
"safety·and·",46,464
"said:·He·",27,50
"said:·I·",655,364
"said:·I·think·",126,14
"said:·If·",182,40
"said:·If·you·",20,24
"said:·In·",95,66
"said:·It·",16,0
"said:·It·was·",33,0
"said:·On·",18,18
"said:·Our·",97,100
"said:·There·is·",87,24
"said:·Theresa·",22,0
"said:·This·is·",134,0
"said:·We·believe·",0,36
"said:·We·have·",144,76
"said:·We've·",29,24
"said·a·",396,246
"said·he·had·",158,40
"said·she·",472,114
"said·that·a·",69,18
"said·that·in·",25,0
"said·the·British·",20,0
"said·they·did·",16,0
"said·they·had·",56,24
"said·to·be·",85,78
"sales·are·",29,24
"sales·have·",18,14
"sales·in·the·",36,62
"sales·to·",33,36
"same·time·",142,88
"same·way·",61,0
"Samsung·and·",0,14
"SAN)·and·US·biotech·",0,16
"Sankyo·(TYO:·4568)·",0,30
"Sanofi·(Euronext:·SAN)·",0,154
"Saturday:·Should·",0,26
"saw·its·",0,136
"saw·what·happened·is·",0,14
"saw·what·happened·is·asked·to·",0,14
"say·a·",27,68
"say·it·",99,30
"say·over·",47,0
"say·this·is·",13,0
"say·what·",52,0
"saying·it·",171,40
"saying·that·it·",20,18
"says·she·",64,16
"says·the·",285,204
"scene·and·the·",0,30
"Schedule·from·",0,18
"scheduled·date·of·",13,0
"scheme·will·",16,16
"school·has·",0,32
"science·and·",54,78
"science·and·",54,0
"scorecard·looks·at·the·progress·French·",0,14
"Scotland·and·",359,26
"Scotland·on·",22,18
"Scotland·to·",181,16
"Scotland's·future·",31,0
"Scottish·Brexit·Minister·",14,0
"Scottish·Daily·",648,502
"Scottish·Daily·Mail·",326,154
"Scottish·Daily·Record·&·",316,348
"Scottish·Mail·",72,22
"Scottish·Mail·on·Sunday·",72,22
"Scottish·Mail·on·Sunday·",72,0
"SDLP·leader·",19,0
"searching·for·",14,72
"seasonal·workers·",26,0
"Sec·David·",45,0
"second·EU·",88,0
"second·largest·",26,36
"second·most·",16,20
"second·quarter·",0,14
"second·time·",29,18
"second·vote·",79,0
"Second·World·",76,20
"SECTION:·BUSINESS;·Pg.·",758,72
"SECTION:·BUSINESS;·Pg.·37·",18,0
"SECTION:·EDITORIAL;·OPINION·COLUMNS;·",65,0
"SECTION:·EDITORIAL;·Pg.·",0,24
"SECTION:·FEATURES;·OPINION·",81,0
"SECTION:·FEATURES;·OPINION·COLUMN;·Pg.·",81,136
"SECTION:·FEATURES;·Pg.·1·",16,0
"SECTION:·FEATURES;·Pg.·13·",13,0
"SECTION:·FEATURES;·Pg.·15·",0,14
"SECTION:·FEATURES;·Pg.·2·",58,54
"SECTION:·FEATURES:OTHER;·Pg.·",15,90
"SECTION:·INDUSTRY·",33,0
"SECTION:·INTERNATIONAL;·",18,0
"SECTION:·LETT·",19,36
"SECTION:·NEWS;·OPINION;·COLUMNS;·Pg.·",0,60
"SECTION:·NEWS;·OTHER;·",47,100
"SECTION:·NEWS;·Pg.·1·",138,72
"SECTION:·NEWS;·Pg.·11·",153,216
"SECTION:·NEWS;·Pg.·11·",153,0
"SECTION:·NEWS;·Pg.·16·",120,144
"SECTION:·NEWS;·Pg.·2·",939,194
"SECTION:·NEWS;·Pg.·20·",88,152
"SECTION:·NEWS;·Pg.·24·",46,164
"SECTION:·NEWS;·Pg.·25·",44,140
"SECTION:·NEWS;·Pg.·25·",44,0
"SECTION:·NEWS;·Pg.·29·",28,78
"SECTION:·NEWS;·Pg.·3·",0,142
"SECTION:·NEWS;·Pg.·31·",21,58
"SECTION:·NEWS;·Pg.·37·",0,26
"SECTION:·NEWS;·Pg.·8·",392,222
"SECTION:·NEWS:LETTERS;·Pg.·",117,94
"SECTION:·NEWS:POLITICS;·",16,0
"SECTION:·NWS;·Pg.·",0,158
"SECTION:·Pg.·14·",0,16
"SECTION:·Pg.·3·",13,32
"SECTION:·Pg.·5·",38,36
"SECTION:·Pg.·6·",174,40
"SECTION:·Pg.·7·",27,36
"SECTION:·Pg.·7·",0,36
"SECTION:·ROP·",81,368
"SECTION:·SPORT;·",98,0
"SECTION:·UK·",19,0
"Sections·line·",0,90
"Securities·and·",26,48
"see·a·",315,56
"see·how·",155,28
"seeking·approval·",0,32
"seen·in·the·",34,58
"seized·upon·",18,0
"Selected·Items:·1-500·",19,26
"selection·of·",27,58
"selling·to·a·",0,72
"sell·the·",22,22
"send·out·",21,0
"Send·your·",14,16
"sending·a·",18,16
"sense·of·",209,42
"sense·of·",0,42
"sensitive·to·",24,0
"sent·the·",31,34
"sent·to·the·",26,96
"sentenced·on·",0,22
"September·16·",69,94
"September·19·",151,118
"September·19·2016·",36,118
"September·20·2016·",45,126
"September·22·2016·Thursday·",24,64
"September·24·2016·Saturday·",14,32
"September·25·2016·",14,30
"September·28·2016·Wednesday·",13,54
"September·3·",56,74
"September·4·",78,0
"September·5·",113,106
"September·5·2016·",39,104
"September·6·2016·",36,0
"September·8·2016·",0,100
"servants·and·",22,0
"serve·the·",0,38
"served·as·the·",0,28
"served·in·",24,32
"service·to·",37,22
"services·firms·",45,0
"services·for·",36,14
"services·were·called·to·a·",0,30
"serving·as·",15,18
"set·a·",66,66
"set·for·",87,46
"set·in·",0,30
"setting·out·",171,0
"settlement·of·",0,20
"settlement·with·",14,24
"several·years·",24,22
"Shadow·Brexit·Secretary·Sir·Keir·",32,0
"Shadow·Brexit·secretary·Sir·Keir·Starmer·",30,0
"Shadow·Chancellor·",31,0
"shaken·by·",0,22
"share·(EPS)·were·",0,14
"share·a·",24,38
"share·of·",166,160
"share·the·",61,46
"share·were·",0,30
"share·with·",38,308
"share·with·your·family·and·friends·-·so·",15,296
"she·did·",66,20
"she·had·",241,152
"She·had·",22,40
"she·had·been·",29,24
"She·has·",131,56
"she·lost·",13,0
"she·may·",31,14
"She·said:·",379,124
"she·said·",197,14
"she·tried·",14,14
"she·was·",456,412
"shopping·centre·",14,42
"shortly·before·",19,134
"shot·up·",14,20
"should·also·",99,24
"should·be·a·",124,0
"should·be·able·",58,14
"should·call·101·",0,26
"should·continue·",79,14
"should·continue·to·",57,0
"should·have·",403,66
"should·not·",0,84
"show·the·",97,0
"show·was·",13,16
"showed·support·for·",14,0
"showed·that·",162,244
"showed·the·",115,42
"showing·a·",28,62
"shown·that·",49,68
"shows·that·the·",39,28
"sides·of·",231,22
"sign·a·",0,22
"sign·in'·",15,0
"sign·in'·(top·right·corner).·",15,300
"signed·a·memorandum·of·",0,18
"signed·the·",24,0
"significant·and·",16,42
"significant·impact·",24,42
"significant·impact·on·",19,26
"significant·number·of·",26,18
"signing·of·",14,38
"signs·of·",111,62
"similar·to·",88,116
"Simon·Coveney·",29,0
"since·it·",52,36
"since·its·",32,26
"Since·the·",36,0
"since·then·",18,16
"Sir·Alan·",20,0
"Sir·Keir·said·",21,0
"site·in·",18,52
"sitting·in·",25,24
"six·months.·",30,40
"six·months·",29,38
"skills·of·",16,0
"slow·down·",16,24
"slumped·to·",19,0
"small·and·",80,34
"small·fire·",0,14
"so·it·is·",48,30
"so·much·",269,62
"so·we·",226,72
"society·the·",0,14
"solutions·to·the·",17,0
"some·cases·",27,20
"some·in·",52,0
"Some·of·the·",48,22
"someone·who·",0,30
"Somerset·Mercury·",0,50
"soon·as·possible·",35,22
"sort·of·Brexit·",24,0
"sorts·of·",57,16
"Soubry·and·",15,0
"Source:·UK·",38,54
"Source:·UK·Publications·",38,54
"source·of·",118,64
"south·of·",76,38
"South·West.·",16,0
"Spain·and·",44,26
"Spain·and·",44,0
"speak·to·",62,0
"speak·with·",23,14
"Speaking·on·BBC·",19,0
"speech·today·",14,0
"speed·up·the·",15,26
"spent·in·",17,0
"spin·doctor·",16,0
"spokesman·for·",193,0
"spokesman·said.·",28,24
"spokesman·said·",102,188
